osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
rene-cerny,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
rene-cerny,Z9/01,7,"V úvodu projednávání tohoto bodu JUDr. Markéta Vaňková, primátorka, upozornila, že v rámci bodu č. 4) byla určena i funkce 4. náměstkyně/náměstka primátorky města Brna, tudíž proběhne volba i do této funkce. Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise. Volba 1. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 1. náměstkyně/náměstka primátorky města Brna. Členka zastupitelstva Ing. Karin Karasová navrhla zvolit do funkce 1. náměstka primátorky města Brna Mgr. Reného Černého. Jiný návrh na zvolení do funkce 1. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát Mgr. René Černý vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě 1. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………… 54 členů Zastupitelstva města Brna - pro Mgr. Reného Černého …………….. 42 hlasů Hlasování č. 10: 42 - 5 - 7 - 0",10,36036d38da50510d
rene-cerny,Z9/01,7,1. náměstkem primátorky města Brna byl zvolen Mgr. René Černý. Volba v pořadí 2. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 2. náměstkyně/náměstka primátorky města Brna. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce v pořadí 2. náměstka primátorky města Brna Mgr. Jaroslava Suchého. Jiný návrh na zvolení do funkce 2. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát Mgr. Jaroslav Suchý vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 2. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Mgr. Jaroslava Suchého ……………... 46 hlasů Hlasování č. 11: 46 - 5 - 3 - 0,4,36036d38da50510d
rene-cerny,Z9/01,7,"V pořadí 3. náměstkem primátorky města Brna byl zvolen JUDr. Robert Kerndl. Volba v pořadí 4. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 4. náměstkyně/náměstka primátorky města Brna. Mgr. René Černý, 1. náměstek primátorky, navrhl zvolit do funkce v pořadí 4. náměstkyně primátorky města Brna Ing. Karin Karasovou. Jiný návrh na zvolení do funkce 4. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržená kandidátka Ing. Karin Karasová vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 4. náměstkyně primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo ……………………… 54 členů Zastupitelstva města Brna - pro Ing. Karin Karasovou ……………………. 42 hlasů",4,36036d38da50510d
rene-cerny,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
rene-cerny,Z9/01,19,"Schválené usnesení: ZMB určuje Ing. arch. Petra Bořeckého za člena zastupitelstva spolupracujícího s Odborem územního plánování a rozvoje Magistrátu města Brna při pořizování územně plánovací dokumentace a jejích změn ve smyslu zákona č. 183/2006 Sb., o územním plánování a stavebním řádu (stavební zákon), v platném znění, pro volební období 2022-2026. Ustavující zasedání Zastupitelstva města Brna ukončila (ve 12:30 hod.) JUDr. Markéta Vaňková, primátorka města Brna. JUDr. Markéta Vaňková v. r. Mgr. René Černý v. r.",0,36036d38da50510d
rene-cerny,Z9/04,40,"Mgr. René Černý, 1. náměstek primátorky: Já bych chtěl jenom reagovat na pana kolegu Hollana a o té, o té spádovosti, jak hovořil, že to tam je uvedeno a možná nepřesně, nebo falešně. Já si myslím, že my vycházíme určitě u multifunkční haly z určité, určitého nadregionálního významu této haly a regionálního významu, a já si myslím, že i my tady máme města a lokality, ze kterých je dojezdová vzdálenost, nebo by byla dojezdová vzdálenost do plánované haly méně než hodinu. A dobře víte, jak Vám, jak trvá přejet někdy Brno městskou hromadnou dopravou nebo, nebo nakonec i autem. Takže z Břeclavi, z Hodonína, ze Znojma, ale nakonec i mimo region, myslím tím teďka Kraj Vysočina, z Jihlavy, po dálnici jste za hodinu na kulturní akci v multifunkční hale.",0,a43c0850f687c0a3
rene-cerny,Z9/03,41,"Mgr. René Černý, 1. náměstek primátorky: Já bych si dovolil reagovat na kolegu Hollana. Vy jste tady trošku vystřihl, vlastně, z celého toho návrhu rozpočtu na příští rok 1 kapitolu. Já to chápu, je Vám to blízké. A vybral jste si, vybral jste si akce, na kterých Vám záleží, možná mě trošku mrzí, že jste vybral jenom jedno divadlo a srovnáváte ho zase s druhým divadlem. Nemyslím si, že by to bylo úplně korektní. A chtěl bych ale trošku připomenout, nebo dovolím si připomenout, a samozřejmě nejen Vám, že ten rozpočet musí počítat s takovými věcmi, jako je 150 základních škol, domovy pro seniory, Městská hromadná doprava, to všechno jsou instituce, které zasáhla energetická krize. A když hovoříte o, a dovolte, já použiji Vaše slova, zásadních nedostatcích v katastrofálním rozpočtu, nesmíte se zlobit, že takle reaguji, protože mně to připadá příliš expresivní, při myšlence, že Vy jste vynechal celé kapitoly toho rozpočtu. A Vy se zabýváte pouze 1. Bc. Matěj Hollan: Já myslím, že nikdo nechceme, abych začal komentovat i ty další kapitoly. Já jsem na to klidně připravený. Ale protože kultura je moje profesní věc, tak se zaměřuji jenom na to, protože ten nepořádek je uvnitř té kapitoly a dá se to řešit v rámci ní.",2,31d42a3a0b7a27be
rene-cerny,Z9/05,38,"Mgr. René Černý, 1. náměstek primátorky: A já bych chtěl jenom odpovědět paní kolegyni Drápalové. Já ji chápu, že se o to zajímá, a chtěl bych ji ubezpečit, že už jsme v době, kdy při jakémkoliv investičním záměru, který se týká výstavby budov, s tím počítáme prakticky automaticky, s tou energetickou náročností.",0,855e8c7abe4c7621
rene-cerny,Z9/05,77,"Mgr. René Černý, 1. náměstek primátorky: Já bych chtěl na to reagovat, pane kolego, byl jsem tam, byli jsme se, byli jsme tam v jisté sestavě, i s Odborem investičním, prošli jsme si celou tu lokalitu, zaměřili jsme se samozřejmě na ten stadion, protože už když jsme tam směřovali, tak jsme tušili, že není ve stavu, kdy ho můžeme, kdy ho budeme moci do budoucna takhle nechat, a ani nechceme. Samotného mě to velice mrzí, ale prostě stadion za Lužánkami, fotbalový, je v takovém stavu, že je zralý na demoliční výměr. Za této situace tam dovolit realizovat projekt, který by mohl nějakým způsobem, a kolega Aberl to tady už řekl, ohrozit ty sportující, by asi nebylo zodpovědné. A pokud bych měl si dovolit parafrázovat, nebo použít Vaše slova, já si zase naopak myslím, že pokud bysme tam i finanční prostředky teďka, do tohoto projektu PARO, pustili, že by to bylo trošku plivnutí do tváře daňovým poplatníkům. Protože my přece víme, že to území chceme uchopit jinak, koncepčně, že chceme dokonce možná zadat nějakou studii na využití toho území. A realizovat tam teďka něco, co nebude odpovídat tomu budoucímu využití, by bylo trošku plýtvání, nemyslíte?",0,855e8c7abe4c7621
