osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
rene-novotny,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
rene-novotny,Z9/09,1,"Omluveni: Mgr. René Černý, 1. náměstek primátorky, Mgr. Jasna Flamiková, Bc. Tomáš Koláčný (do 10:00 hod.) a Mgr. René Novotný.",0,3662325cd3a42957
rene-novotny,Z9/11,27,"Mgr. René Novotný: Já bych chtěl, prosím Vás, navrhnout v tomto bodě, č. 3), v návrhu usnesení, ve variantním návrhu, varianta A, varianta B, varianta C, abychom hlasovali tajným hlasováním. A to z důvodu, jednak aby všichni zastupitelé po této dlouhé rozpravě a diskusi se mohli svobodně, demokraticky rozhodnout, bez, dle mého názoru, následného veřejného nátlaku, ať už ohledně osobních nějakých rozhodnutí, popřípadě politických klubů. Děkuji a písemně Vám to předám.",2,8b2034d2529405ca
rene-novotny,Z9/11,27,"Mgr. René Novotný: Pardon, ještě jednou, ano, ať je to srozumitelné, návrh usnesení zní, 1. bod - bere na vědomí tohoto, ten můj návrh se týká jenom té druhé části, kde máme variantu A, variantu B, variantu C. Tak o této žádám, aby se hlasovala tajnou volbou, o kterém rozhodneme teď, v hlasování.",2,8b2034d2529405ca
rene-novotny,Z9/13,1,"Připojeni on-line: Petr Bauer, JUDr. Michal Chládek, MBA, Mgr. René Novotný a Libor Zábranský.",0,1f55fba1fd91456a
rene-novotny,Z9/19,1,"Omluveni: Bc. Matěj Hollan (do 8:25 hod.), Bc. Jakub Hruška (od 11:30 do 12:00 hod.), Mgr. René Novotný (do 9:00 hod.), MUDr. Dagmar Seidlová, Ph.D. (do 9:00 hod.), Mgr. Břetislav Štefan (do 9:00 hod.), Libor Zábranský.",0,7a2e7987609bcbd0
rene-novotny,Z9/19,20,"Mgr. René Novotný: Mohu poprosit? Špatné hlasování pro mě, technicky.",0,7a2e7987609bcbd0
rene-novotny,Z9/21,1,"Omluveni: Bc. Matěj Hollan (do 10:00 hod.), Bc. Kateřina Jarošová, MBA, Mgr. Filip Leder (od 8:45 hod.), Petr Levíček, MBA, Mgr. René Novotný, JUDr. Markéta Vaňková, primátorka.",0,f9d440624b7d3d49
rene-novotny,Z9/26,56,Mgr. René Novotný: Dobrý den. Hlásím zmatečné hlasování. Omlouvám se.,0,e5fe37ddafdb66a3
rene-novotny,Z9/28,37,Mgr. René Novotný - požádal o samostatné hlasování o bodu 54).,2,7ac680d41d8d0dd0
rene-novotny,Z9/31,1,"Připojeni on-line: Mgr. Vladan Krásný, Mgr. René Novotný, Libor Zábranský.",0,be8083cfb4f00a99
rene-novotny,Z9/32,2,"Předsedou Klubu ANO 2011, jehož členy jsou RNDr. Miroslav Kubásek, Ph.D., Mgr. René Novotný a Mgr. Pavel Outrata, se stal Mgr. René Novotný.",0,f2d978b02f87f5fa
rene-novotny,Z9/34,31,"Mgr. René Novotný: Takže já bych chtěl ještě poprosit, my jsme neměli možnost hlasovat, protože u tohoto návrhu usnesení bodu číslo 1 jsou čtyři odrážky a my bychom chtěli požádat, aby se hlasovalo samostatně o jednotlivých odrážkách.",2,75ba75c42ae44f62
