osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
robert-kerndl,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
robert-kerndl,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
robert-kerndl,Z9/01,6," Mgr. Bc. Marek Viskot - předseda  Mgr. Břetislav Štefan · Ing. Karel Kalivoda 6. Volba primátorky/primátora města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci primátorky/primátora města Brna. Člen Zastupitelstva města Brna JUDr. Robert Kerndl podal návrh na zvolení JUDr. Markéty Vaňkové do funkce primátorky města Brna. Jiný návrh na zvolení do funkce primátorky/primátora města Brna podán nebyl. Navržená kandidátka na primátorku města Brna JUDr. Markéta Vaňková vyslovila souhlas s kandidaturou a přednesla svůj kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě primátorky města Brna: Hlasování č. 8: Neplatné hlasování",6,36036d38da50510d
robert-kerndl,Z9/01,7,"V pořadí 2. náměstkem primátorky města Brna byl zvolen Mgr. Jaroslav Suchý. Volba v pořadí 3. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 3. náměstkyně/náměstka primátorky města Brna. JUDr. Markéta Vaňková, primátorka, navrhla zvolit do funkce v pořadí 3. náměstka primátorky města Brna JUDr. Roberta Kerndla. Jiný návrh na zvolení do funkce 3. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát JUDr. Robert Kerndl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 3. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Roberta Kerndla ……………….. 42 hlasů Hlasování č. 12: 42 - 5 - 7 - 0",6,36036d38da50510d
robert-kerndl,Z9/01,7,"V pořadí 3. náměstkem primátorky města Brna byl zvolen JUDr. Robert Kerndl. Volba v pořadí 4. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 4. náměstkyně/náměstka primátorky města Brna. Mgr. René Černý, 1. náměstek primátorky, navrhl zvolit do funkce v pořadí 4. náměstkyně primátorky města Brna Ing. Karin Karasovou. Jiný návrh na zvolení do funkce 4. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržená kandidátka Ing. Karin Karasová vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 4. náměstkyně primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo ……………………… 54 členů Zastupitelstva města Brna - pro Ing. Karin Karasovou ……………………. 42 hlasů",4,36036d38da50510d
robert-kerndl,Z9/01,8,"JUDr. Roberta Kerndla v pořadí třetím náměstkem primátorky města Brna, Ing. Karin Karasovou v pořadí čtvrtou náměstkyní primátorky města Brna. 8. Volba dalších členek/členů Rady města Brna Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise, opět podle platného volebního řádu, který určuje, že volba probíhá u každé další členky/člena Rady města Brna jednotlivě. JUDr. Markéta Vaňková, primátorka, upozornila, že oproti předloženému materiálu k tomuto bodu se bude volit o 1 členku/člena Rady města Brna méně, vzhledem ke zvolení 4. náměstkyně primátorky města Brna. Volba členky/člena Rady města Brna pro dopravu a správu městských účastí Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro dopravu a správu městských účastí. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce člena Rady města Brna pro dopravu a správu městských účastí Ing. Petra Kratochvíla. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro dopravu a správu městských účastí podán nebyl. Navržený kandidát Ing. Petr Kratochvíl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro dopravu a správu městských účastí. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Ing. Petra Kratochvíla ……....………... 41 hlasů Hlasování č. 14: 41 - 5 - 7 - 1",8,36036d38da50510d
robert-kerndl,Z9/01,8,"Členem Rady města Brna pro dopravu a správu městských účastí byl zvolen Ing. Petr Kratochvíl. Volba členky/člena Rady města Brna pro sport a informační technologie Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro sport a informační technologie. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce člena Rady města Brna pro sport a informační technologie Bc. Tomáše Aberla. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro sport a informační technologie podán nebyl. Navržený kandidát Bc. Tomáš Aberl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro sport a informační technologie. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Bc. Tomáše Aberla ………………….... 43 hlasů Hlasování č. 15: 43 - 6 - 5 - 0",4,36036d38da50510d
robert-kerndl,Z9/01,10,"Dlouhodobě uvolněnou členkou Zastupitelstva města Brna pro oblast marketingu a PR byla zvolena Bc. Kateřina Jarošová, MBA. Volba dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi doc. RNDr. Annu Putnovou, Ph.D., MBA. Jiný návrh na zvolení do funkce dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi podán nebyl. Navržená kandidátka doc. RNDr. Anna Putnová, Ph.D., MBA., vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi. Výsledek hlasování: - hlasování se zúčastnilo ……………………….. 54 členů Zastupitelstva města Brna - pro doc. RNDr. Annu Putnovou, Ph.D., MBA.. 41 hlasů Hlasování č. 21: 41 - 5 - 7 - 1",4,36036d38da50510d
robert-kerndl,Z9/01,12,"Komise si ze svého středu volí předsedu, který dle článku 4 odst. 3 schváleného volebního řádu průběh voleb řídí. Předsedou volební komise byl členy volební komise zvolen Mgr. Bc. Marek Viskot. Schválené usnesení: 1. ZMB schvaluje Volební řád pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna, který tvoří přílohu č. 1 tohoto zápisu. 2. ZMB volí volební komisi pro volbu neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna, pro volební období 2022–2026, ve složení: Mgr. Bc. Marek Viskot - předseda Ing. Karel Kalivoda, RNDr. Miroslav Kubásek, Ph.D. 11. Volba neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Volba neuvolněné/neuvolněného předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna Předseda volební komise seznámil přítomné členy Zastupitelstva města Brna s pořadím prováděných voleb a poté je vyzval k podání návrhů na funkci předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna. JUDr. Robert Kerndl, náměstek primátorky, navrhl do funkce předsedkyně Finančního výboru Zastupitelstva města Brna Ing. Andreu Pazderovou. Jiný návrh na zvolení do funkce předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Ing. Andrea Pazderová vyslovila souhlas s kandidaturou. V souladu s volebním řádem kandidáti na funkce neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna nevystupují se svým prohlášením a neodpovídají na případné dotazy. Hlasování o volbě předsedkyně Finančního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 53 členů Zastupitelstva města Brna - pro Ing. Andreu Pazderovou ……... 44 hlasů Hlasování č. 26: 44 - 1 - 8 - 0",8,36036d38da50510d
robert-kerndl,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
