osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
tomas-aberl,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
tomas-aberl,Z9/01,8,"Členem Rady města Brna pro dopravu a správu městských účastí byl zvolen Ing. Petr Kratochvíl. Volba členky/člena Rady města Brna pro sport a informační technologie Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro sport a informační technologie. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce člena Rady města Brna pro sport a informační technologie Bc. Tomáše Aberla. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro sport a informační technologie podán nebyl. Navržený kandidát Bc. Tomáš Aberl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro sport a informační technologie. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Bc. Tomáše Aberla ………………….... 43 hlasů Hlasování č. 15: 43 - 6 - 5 - 0",4,36036d38da50510d
tomas-aberl,Z9/01,8,"Členem Rady města Brna pro sport a informační technologie byl zvolen Bc. Tomáš Aberl. Volba členky/člena Rady města Brna pro územní plánování Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro územní plánování. Ing. Karin Karasová, náměstkyně primátorky, navrhla zvolit do funkce člena Rady města Brna",6,36036d38da50510d
tomas-aberl,Z9/02,1,Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Bc. Tomáš Aberl a Vít Prýgl.,0,9d9381375d84a343
tomas-aberl,Z9/02,10,"Volba další členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 1 členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen Rady města Brna Bc. Tomáš Aberl navrhl nezastupitelku Mgr. Zdeňku Dubovou, člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl nezastupitele Olega Beznosika, členka zastupitelstva Ing. Jana Drápalová navrhla nezastupitele Mgr. Matouše Vencálka.",6,9d9381375d84a343
tomas-aberl,Z9/05,1,Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Bc. Tomáš Aberl a Vít Prýgl.,0,855e8c7abe4c7621
tomas-aberl,Z9/05,77,"Bc. Tomáš Aberl, člen Rady města Brna: My jsme ten, my jsme to probírali. Samozřejmě ta lokalita, jak správně říkáte, tak my ji chceme řešit koncepčně. To, že zatím k tomu není žádný dokumenty, že se to zatím tady všecko zpracovává, nicméně stav toho stadionu, tedy kde se vlastně ta, to „Dejme Š(v)ANCI mladým“, má, to znamená uprostřed, je velmi havarijní. A my zkrátka, z tohodletoho pohledu, jsme naznali, že není dobré, aby se uprostřed dělal nějaký takový projekt. Proto jedno i z těch rozhodnutí bylo, že to nebudem pokračovat, v tomhle projektu. A navíc ty finance, dneska je to na Odboru sportu, tak by byly daleko vyšší, než byl původní záměr.",0,855e8c7abe4c7621
tomas-aberl,Z9/07,1,Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Vít Prýgl a Bc. Tomáš Aberl.,0,736feb627c8ee927
tomas-aberl,Z9/06,63,"Bc. Tomáš Aberl, člen Rady města Brna: Já bych chtěl jenom takovou malou poznámečku k panu zastupitelovi Zemkovi. On to jistě samozřejmě dobře ví, ale Wikipedie není relevantním zdrojem informací.",0,e715158e17e939ea
tomas-aberl,Z9/09,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Bc. Tomáš Aberl, Vít Prýgl, Leoš Prokeš, MBA.",0,3662325cd3a42957
