osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
tomas-anderle,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
tomas-anderle,Z9/01,11,"Pokračování po přestávce JUDr. Markéta Vaňková, primátorka – přistoupila k dokončení voleb dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna, a to předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Volba dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Bc. Tomáš Anderle, MBA, LL.M., navrhl zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna doc. MUDr. Tomáše Skřičku, CSc. Členka zastupitelstva Ing. Jana Drápalová navrhla zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna Bc. Matěje Hollana. Navržení kandidáti, doc. MUDr. Tomáš Skřička, CSc., i Bc. Matěj Hollan, vyslovili souhlas s kandidaturou a přednesli kandidátské projevy. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna, v abecedním pořadí. Výsledek hlasování: - hlasování se zúčastnilo ………… 51 členů Zastupitelstva města Brna - pro Bc. Matěje Hollana …………. 4 hlasy Hlasování č. 22: 4 - 12 - 30 - 5",6,36036d38da50510d
tomas-anderle,Z9/02,17,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: V materiálu se hovoří o vícepracích, já jsem se chtěl zeptat, o jaké vícepráce se jedná?",0,9d9381375d84a343
tomas-anderle,Z9/05,31,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: U tohoto bodu jsem se chtěl zeptat, zda tento projekt sociální oblasti opravdu supluje edukaci? Protože všechny uvedené atributy směřující pro flexibilní uplatnění adolescentů na volný trh práce jsou v gesci vzdělávání, včleněno tedy do rámcových vzdělávacích programů, tedy do předprofesní a profesní přípravy žáků. Ptám se proto, zda tato investice je nezbytně nutná?",0,855e8c7abe4c7621
tomas-anderle,Z9/07,29,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Domnívám se, že stát v minulosti poskytl dostatek finančních prostředků pro církve, a z tohoto důvodu žádám o oddělené hlasování.",0,736feb627c8ee927
tomas-anderle,Z9/07,29,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Ano, oddělené hlasování žádám od bodu 3 až 14.",0,736feb627c8ee927
tomas-anderle,Z9/07,36,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Já se domnívám, že právě škola by měla žákům předávat takové atributy, jako je motivace k pohybovým aktivitám, orientace v prostoru, motorické zkušenosti, péče o okolí školy, bezpečný pohyb s eliminací překážek a další. Rodiče svoje děti do školy vozí autem, a to mnohdy z časových, a právě bezpečnostních a jiných důvodů. Dle mého názoru by bylo efektivnější, kdyby se dané finanční prostředky poukázaly právě na vrub školám, které by jistě zajistily stěžejní problematiku. Kromě toho zvyšování fyzické a sociální kondice žáků včetně sociálního styku je náplní školních vzdělávacích programů na všech školách.",0,736feb627c8ee927
tomas-anderle,Z9/07,37,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Vážená paní primátorko, k tomuto bodu si dovolím krátký komentář. V dobách konjunktury si dovedu představit finanční pomoc uprchlíkům v nesnázích z jakéhokoliv, jakékoliv země. V uvozovkách, stěží si však dovedu představit jejich integraci do našeho soci, kulturního prostředí. Jsem přesvědčen, že v současné nelehké době, kdy se určitá komunita Brňanů potýká s chudobou, není tato integrace na místě. Finanční intervenci bych já, osobně, zaměřil na skupinu brněnských občanů, kteří to potřebují. A zejména uvedu příklad matky samoživitelky.",0,736feb627c8ee927
tomas-anderle,Z9/06,29,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Já jednoznačně stojím za eliminací školní neúspěšnosti a plně podporuji všechny preventivní programy zaměřené na tuto činnost. Ale nevidím žádný důvod, aby charita suplovala činnosti, pro kterou byla zřizena právě škola. Mám za to, že pracovní doba pedagogických pracovníků je jako u každých jiných zaměstnanců, určitých profesí, tedy podle zákoníku práce 40 hod. týdně, z toho u pedagogických pracovníků, dle nařízení vlády o přímé práci s žáky, konají přímou a záměrnou činnost ve stanoveném rozsahu, tedy u základní školy jinak, u střední školy jinak, u mateřských škol jinak, a zbytek tvoří činnosti související s touto přímou a záměrnou pedagogickou činností. Tedy když vykonává pedagogický pracovník 20 hod. přímé práce, tak 19 hod. má práci nepřímou, na které se domluví se statutárním orgánem, kde a kdy tuto práci bude vykonávat. V této nepřímé práci mohou neúspěšné žáky pedagogičtí pracovníci individuálně doučovat. Je to dokonce, se domnívám, nebo jsem přesvědčen, jejich povinností. Výše uvedený bod byl projednáván na komisi. A domnívám se, že cílem nás všech je spořit finanční prostředky města Brna, byť se nejedná o nějak vysokou částku. Domnívám se nyní, nebo dostáváme se nyní do svízelné situace, kdy musíme vynakládat dodatečně finanční prostředky na danou intervenci. Podle mého zbytečně. Ale je to můj názor.",0,e715158e17e939ea
tomas-anderle,Z9/06,29,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Děkuji paní radní. Já jenom připomínám, že stojím za eliminací školní neúspěšnosti a podporuji všechny tyto preventivní programy. Je škoda, že speciální školství, nebo režim speciálního školství byl diskriminován a nahrazuje se inkluzí. Protože tito žáci by se v malých skupinkách vzdělávali v režimu speciálního vzdělávání, kdy ten pedagogický pracovník na ně má více času a uspokojoval by tak skutečné individuální potřeby každé této lidské bytosti. Prosím Vás, neberte to ve zlým. Já jenom jsem chtěl připomenout, že já vím, že se nejedná, že to je vůle, dobrá vůle. Ano, chápu to, rozumím to. Ale na druhou stranu, šetříme každou korunu a já to tak prostě, z mýho pohledu to tak je a já to tak beru. Děkuji, víc k tomu nemám.",0,e715158e17e939ea
tomas-anderle,Z9/06,36,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: K tomuto bodu mám připomínky. Já v tomto bodě nevidím problém v oblasti socializace sociálně znevýhodněných dětí a adolescentů. Jsem pro socializaci, jsem pro nejvyšší stupeň socializace, což je integrace, zapojení těchto jedinců do společenského a kulturního života. Na komisi, na školské komisi, nebo komisi vzdělávání mi bylo řečeno, že lektoři splňují kvalifikační předpoklady pro výše uvedenou pedagogickou činnost. Já jsem, omlouvám, nebyl jsem na komisi dost konkrétní a dovolím si ještě jednou zeptat se, zda opravdu tito lektoři disponují kvalifikačními předpoklady magisterského vzdělávacího programu v daném oboru vzdělání? Konkrétně teda se nyní ptám, zda splňují tyto kvalifikační předpoklady dle zákona o pedagogických pracovnících? Domnívám se, snad právem, že erudovaných pedagogických pracovníků, kteří splňují vzdělání, máme dost.",0,e715158e17e939ea
tomas-anderle,Z9/06,37,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Já to teda beru tak, že existují teda výjimky a že na těchto základních školách teda vyučují vysoce uznávaní odborníci. Děkuji. Eště k panu Hollanovi. Já jsem neřekl a nikdy jsem neříkal, že souhlasím s inkluzí. Já jsem odpůrce inkluze. Já jsem pro integraci. Jsem pro obrácenou integraci, nebo integraci naruby, pro integraci, kdy se integrovali žáci s lehkým handicapem v běžných školách. Jsem pro integraci takovou, kdy se i zdraví žáci měli ty příležitosti a mohli se ucházet o vzdělávání na školách s režimem speciálního vzdělávání, ale nejsem pro inkluzi. Ano, jsem pro integraci společenskou, kulturní a maximální možné míře, integraci, zapojení se na flexibilní trh, práci, mezi, mezi společnost a intaktní jedince.",0,e715158e17e939ea
tomas-anderle,Z9/06,44,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.: Budu citovat cíl projektů. Je to systematická edukace zaměřená na význam kojení. Prosím Vás, nejsem odborník, ale fakt se to myslí vážně? Předporodní příprava má být zaměřená pro kategorii žen z nižších sociálních vrstev. Přiznávám se, že k výše uvedenému projektu já, osobně, nemám důvěru. Nevidím žádný smysluplný důvod navyšovat nemalé finanční prostředky, opravdu nemalé finanční prostředky města Brna na zajištění další edukace lektorů k osvětě a informovanosti veřejnosti. Kromě toho není žádná jistota, zda bude nějaká odezva z řad veřejnosti, tedy potenciálních matek. Trh disponuje rozsáhlou odbornou literaturou, ze kterou mohou budoucí matky čerpat. A rovněž poradenský servis odborníků je v současné době opravdu širokospektrální. A potom, v neposlední řadě, bych prosil vo nějakou pak evaluaci, nebo jaká byla účast a úspěšnost projektu? Protože se jedná o, opravdu, o nemalou částku. Ale nejsem odborník, upozorňuju.",0,e715158e17e939ea
