hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-20-001,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,70b8db83321d99c9,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - ověřovatelé zápisu",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-1-29608.html
Z9-20-002,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,97b2f5274ecc5943,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 20, 24, 46, 62, 65",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-2-30163.html
Z9-20-004,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,f44f4ef34b64df33,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o návrhu pí. Drápalové na zařazení bodu č. 124",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-4-30237.html
Z9-20-003,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,e14729f4b004a8eb,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o zařazení bodu č. 123",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-3-30186.html
Z9-20-005,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,d923ee796691d5ea,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-5-30261.html
Z9-20-006,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,c52f582100e12351,ano,,"124. Nezákonné jednání generálního ředitele Dopravního podniku Brno, a. s., Ing. Miloše Havránka - hlasování o návrhu p. Kerndla",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-6-32986.html
Z9-20-007,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,11868e513260e182,ano,,"124. Nezákonné jednání generálního ředitele Dopravního podniku Brno, a. s., Ing. Miloše Havránka - hlasování o návrhu p. Zemka",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-7-33036.html
Z9-20-008,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,194185fd83eafda4,ano,,"124. Nezákonné jednání generálního ředitele Dopravního podniku Brno, a. s., Ing. Miloše Havránka",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-8-33077.html
Z9-20-009,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,98ea507957be0d43,ano,,"6. Návrh změny stanov obchodní společnosti Veletrhy Brno, a. s.",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-9-33836.html
Z9-20-010,Z9/20,2024-10-15,tomas-hejl,Tomáš Hejl,ANO 2011,Ano,Ano,f514f6582d08660f,ano,,"7. Dodatky ke zřizovacím listinám Nemocnice Milosrdných bratří, příspěvkové organizace, a Sdružení zdravotnických zařízení II Brno, příspěvkové organizace",https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-10-33883.html
