osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
tomas-kolacny,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
tomas-kolacny,Z9/01,13,"Místopředsedou Finančního výboru Zastupitelstva města Brna byl zvolen JUDr. Michal Marek. Volba neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 5 neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna. Člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl Bc. Jiřího Kmenta, Bc. Tomáš Koláčný navrhl Mgr. Marka Lahodu, Ing. Karin Karasová, náměstkyně primátorky, navrhla Ing. Daniela Struže, MBA, členka zastupitelstva Mgr. Jasna Flamiková navrhla Ing. Janu Drápalovou a JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Petra Šafaříka. O všech kandidátech na člena Finančního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ……… 53 hlasů Hlasování č. 28: 53 - 0 - 1 - 0",6,36036d38da50510d
tomas-kolacny,Z9/01,15,"Členy Výboru pro národnostní menšiny Zastupitelstva města Brna byli zvoleni Akop Chodžajan, Mgr. Jasna Flamiková, Bc. Tomáš Koláčný, Bc. Sabina Benešová a Mgr. Jitka Ivičičová. JUDr. Markéta Vaňková, primátorka, upozornila, že v případě Výboru pro národnostní menšiny Zastupitelstva města Brna musí nadpoloviční většinu jeho členů tvořit zástupci národnostních menšin. Proto je nutné, aby předseda tohoto výboru oslovil příslušné spolky národnostních menšin se žádostí o delegování kandidátů na členy výboru, jak je uvedeno v navrženém usnesení k bodu 11). JUDr. Markéta Vaňková, primátorka – přistoupila k hlasování o návrhu na uložení povinnosti předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit doplňující volbu členek/členů tohoto výboru na příští zasedání Zastupitelstva města Brna: Hlasování č. 35: 54 - 0 - 0 - 0",6,36036d38da50510d
tomas-kolacny,Z9/04,25,"Bc. Tomáš Koláčný – požádal o samostatné hlasování o bodech 51), 53), 59) a 60).",2,a43c0850f687c0a3
tomas-kolacny,Z9/04,39,"Bc. Tomáš Koláčný: Já bych se rád zeptal, nevím, jestli to směřovat ještě na kolegu Kratochvíla, nebo už na kolegu Grunda. Nicméně, rada schválila, někdy na přelomu září a října loňského roku, úkol pro společnost Brněnské komunikace ve věci zahájení výběrového řízení na zhotovitele Janáčkova kulturního centra. Tak bych se rád dotázal, v jakém je to stavu, zda už bylo vyhlášeno, nebo jaké kroky byly podniknuty?",2,a43c0850f687c0a3
tomas-kolacny,Z9/02,49,"Bc. Tomáš Koláčný: Já bych se chtěl doptat. V té původní smlouvě ta dotace měla být poskytnuta jednak tedy po prokázání toho, že příjemce splní tu část závazků, finančních, ke které se zavázal, nicméně zde je ta konstrukce trochu jiná. Příjemce dostává 9.820.000 po prokázání vlastnictví díla, nicméně vlastně tuto částku dostává ještě předtím, než to dílo bude umístěno. Já bych se chtěl zeptat, jakým způsobem je ošetřena situace, kdyby, nedejbože, příjemce to dílo neumístil? Protože jaksi po tom umístění dostává pouze těch 180, zbývajících, tisíc.",0,9d9381375d84a343
tomas-kolacny,Z9/02,50,"Bc. Tomáš Koláčný: Já si teda dovolím ještě jednou dotázat. Protože tadyvtom opraveném článku se píše, že realizací díla se rozumí zajištění jeho zhotovení, nikoli umístění. To znamená, já se domnívám, že v případě, že dílo bude zajištěno, tak bude naplněna tadytadlencta část smlouvy. Nicméně ta sankce za umístění je těch, jestli to chápu, těch 180.000. A pak tedy mám další dotaz, jestli těch 180.000, v kontextu celkové výše dotace, je adekvátních pro situaci, kdyby nedošlo k umístění?",0,9d9381375d84a343
tomas-kolacny,Z9/03,9,"- na Z8/01. zasedání Zastupitelstva města Brna dne 20. 11. 2018 pod bodem č. 14 byla JUDr. Markéta Vaňková, primátorka města Brna, jmenována do funkce členky zastupující statutární město Brno na jednáních (valných hromadách) dobrovolného svazku obcí České dědictví UNESCO, Ing. Marek Fišer byl jmenován jako její zástupce, a Ing. arch. Iveta Černá byla jmenována jako členka výkonného výboru dobrovolného svazku obcí České dědictví UNESCO za statutární město Brno, - na Z8/08. zasedání Zastupitelstva města Brna dne 3. 9. 2019 pod bodem č. 13 byl Bc. Tomáš Koláčný jmenován jako 2. zástupce za členku JUDr. Markétu Vaňkovou a Mgr. Monika Lukášová Spilková, Ph.D., byla jmenována jako 3. zástupkyně za členku JUDr. Markétu Vaňkovou k zastupování statutárního města Brna na jednáních (valných hromadách) dobrovolného svazku obcí České dědictví UNESCO.",0,31d42a3a0b7a27be
tomas-kolacny,Z9/03,33,"Bc. Tomáš Koláčný: Já, za sebe, musím říct, že rozumím tomu, že koalice přistoupila k určitým úsporám, hovořím teďka o oblasti kultury, kterou jsem v minulém období, spolu s kolegou Fišerem, vedl. Nicméně bych se chtěl paní primátorky dotázat, z jakého důvodu z návrhu rozpočtu zcela vypadl festival BrnoON, který se v Brně těmi 3 uskutečněnými ročníky, domnívám se, poměrně dobře etabloval a který je nejstarším festivalem v České republice, jehož kořeny sahají až do roku 87, a který byl, myslím si, velmi dobře přijat i lidmi bydlícími v okolí, jelikož jsem za ty 3 roky nezaznamenal žádné stížnosti, na rozdíl od jiných festivalů. Tak jestli bych mohl poprosit, jestli se s podporou nadále počítá? Dovolím si ještě zmínit, že samozřejmě v areálu za Anthroposem se připravuje stavba, nicméně etapizace této stavby by neměla bránit uskutečnění tohoto festivalu v letošním roce a zároveň z pokynu, který v minulém období schválila Rada města Brna, plyne, že bude možné, aby se festival do areálu vrátil i po ukončení této investiční akce.",2,31d42a3a0b7a27be
tomas-kolacny,Z9/03,33,"Bc. Tomáš Koláčný: Já děkuji za odpověď. Ještě možná doplním tu svoji otázku, protože jsem zavnímal, že byla významně snížena navržená dotace pro festival Pop Messe, který já jsem teda vnímal jakožto takový nejvýše, nejvyšší, nebo nejkvalitnější festival, který by v té nabídce měl být, nicméně domnívám se, že s touto částkou bude velmi obtížné udržet kvalitu toho festivalu. A proto bych se chtěl přimluvit, aby i zde koalice zvážila navýšení tak, aby ta kvalita, která za uplynulé 2 ročníky byla nastavena poměrně vysoko a konkurenceschopná vůči předním festivalům v České republice, tak aby mohla být udržena i do budoucna. Dále mě zaujalo, že festival Groove Brno naopak byl navýšen z, tuším, 1.000.000 na 3. Tak na to bych se chtěl dotázat.",0,31d42a3a0b7a27be
tomas-kolacny,Z9/05,70,Bc. Tomáš Koláčný: Já bych chtěl poprosit ta jednotlivá usnesení hlasovat zvlášť.,0,855e8c7abe4c7621
tomas-kolacny,Z9/05,76,"Bc. Tomáš Koláčný: Já bych se chtěl dotázat na stadion za Lužánkami, konkrétně v kontextu projektu participativního rozpočtu „Dejme za Lužánkami Š(v)ANCI mladým“, který se umístil na 2. místě v roce 2020, hlasovalo pro něj 2 251 Brňanů. Nicméně se mi dostalo vyjádření kolegy Mikše, který tedy v tom vyjádření píše, že se s realizací tohoto projektu, z mně nepochopitelných důvodů, nepočítá. V rámci toho vyjádření je komentováno tím stylem, nebo tím směrem, že město chce celou oblast kolem stadionu za Lužánkami uchopit koncepčně, čemuž rozumím, nicméně to, čemu nerozumím, je, proč v situaci, kdy žádné koncepční rozhodnutí, nebo žádná koncepční změna skrz územní plán a jeho neschválení není možná, tak se nerealizuje tento projekt, jehož udržitelnost, i v kontextu Zásad participativního rozpočtu, je pouhé 3 roky, to znamená, žádné budoucí využití této lokality neblokuje. Já se domnívám, pokud takto bude zacházeno s těmi projekty participativního rozpočtu, obzvlášť těmi, který skutečně se umístily na prvních místech v hlasování, tak to bude plivnutí",0,855e8c7abe4c7621
tomas-kolacny,Z9/05,77,"Bc. Tomáš Koláčný: Já se tedy omlouvám, ale pokud si čtu vyjádření Odboru investičního v dané kartě projektu, tak tady je explicitně napsáno – projekt je proveditelný, s podmínkou, že návrh, co do rozsahu, bude respektovat daný finanční limit. To znamená, tvrzení, že je nerealizovatelný, nebo že tribuny jsou v havarijním stavu, za mě, není úplně na místě a skutečně ta otázka směřuje spíš k tomu, rozumím koncepčnímu přístupu, ale nerozumím tomu, proč v době, než bude moct nastat tento koncepční přístup, což určitě nebude v nejbližších 3 letech, i skrz územní plán, jak jsem zmínil, tak se jaksi neuvažuje o realizování projektu, který skutečně byl úspěšný, umístil se na 2. místě, Brňáci ukázali, že o něj mají zájem.",2,855e8c7abe4c7621
tomas-kolacny,Z9/05,77,"Bc. Tomáš Koláčný: Já tedy skutečně se domnívám, že dokud v územním plánu ta barvička bude žlutá, tak tam úplně bydlení, o kterém se tedy diskutuje, že by tam mělo býti realizováno, vystavět není možné, opravte mě, pokud se pletu. Zavnímal jsem tady vyjádření 2 členů rady, že by stadion měl být demolován,",0,855e8c7abe4c7621
tomas-kolacny,Z9/07,44,"Bc. Tomáš Koláčný: Já musím říct, že když jsem si pročítal program dnešního zasedání a došel jsem k tomuto bodu, tak jsem byl pln nadšení a očekávání. Přece jenom všichni máme v poměrně živé paměti všechny ty novinové titulky o korupci, klientelismu a kupčení s městskými byty. A o to větší bylo mé zklamání, když jsem si tento materiál pročetl a zjistil jsem, že nové, navrhované změny pravidel nijak ten problém, který, si myslím, vygradoval na městské části Brno-střed, neřeší. Takže bych rád využil této příležitosti a požádal Radu města Brna, aby se zabývala tím problémem, a dokonce ten problém pojmenuji. Z mého pohledu tím největším problémem v rámci pravidel je možnost takzvaných subjektivních hodnocení, subjektivního hodnocení, v rámci kterého bytové komise na městských částech přidělují, tuhle jeden bodík, támhle půl bodík, a díky tomu se to přidělování bytů stává velmi nepředvídatelným, netransparentním a je v něm korupční potenciál. Takže bych chtěl požádat, jestli by do příští novely těchto pravidel mohly být zapracovány změny, které tadytento korupční potenciál odstraní.",2,736feb627c8ee927
tomas-kolacny,Z9/07,53,Bc. Tomáš Koláčný – požádal o samostatné hlasování o bodu 74).,2,736feb627c8ee927
tomas-kolacny,Z9/07,72,"Bc. Tomáš Koláčný: Já si dnes dovolím zvednout 2 témata, první bych směřoval na kolegu Kratochvíla. Předesílám, že jsem podporovatel sdílené ekonomiky, a to jak v podobě sdílených kol, tak i sdílených koloběžek. Nicméně poslední dobou si na ulicích všímám takového nešvaru, kdy u těch pěkných, nových stojanů, které byly za minulého vedení instalovány na řadě míst, zejména Brna-střed, tak je vyskládáno někdy 40, 50 koloběžek, běžný smrtelník nemá moc šancí si tam kolo upevnit. Tak jsem chtěl požádat, jestli byste tadytohlencto mohli prověřit a případně přijít s nějakým opatřením, které aspoň část těch stojanů uvolní pro běžného cyklistu, aby skutečně tam nemusel překračovat hromady koloběžek. Mám tady případně fotky, můžu zaslat. To je první téma. A druhé téma, už se tady o tom dnes hovořilo, a to je vývoj, nebo posun ve věci projektu Janáčkova kulturního centra. Chtěl bych požádat, nevím, jestli paní primátorku, nebo Petra, nebo koho, o informaci, jak se věc vyvíjí, jaké kroky byly od voleb učiněny, případně co v tuto chvíli brání tomu, aby mohlo být zahájeno zadávací řízení na výběr zhotovitele. Stačí mi písemně. Děkuji.",0,736feb627c8ee927
tomas-kolacny,Z9/06,59,"Bc. Tomáš Koláčný: Já bych chtěl požádat o hlasování těch 2 účelů odděleně. Důvod je prostý. Já se domnívám, že není úplně šťastné obecně využívat prostředky z fondu VHČ na jiné účely. Ještě bych dokázal pochopit tu jídelnu na základní škole. Nicméně opravovat smuteční síň, byť se domnívám, že je v pořádku, ten projekt opravy Rullerovy smuteční síně, tak se nedomnívám, že by to mělo být financováno z fondu VHČ. Proto, prosím, oddělené hlasování.",0,e715158e17e939ea
tomas-kolacny,Z9/06,84,"Bc. Tomáš Koláčný: Pokusím se býti stručný. Já mám 3 podněty, nebo dotazy. První se týká Technologického parku. Dočetl jsem se, že město na veletrhu MIPIM v Cannes prezentovalo investiční příležitost v rámci technoparku. Chtěl bych se zeptat, jaká investiční příležitost to byla. Druhá moje otázka se týká toho, protože jsem si přečetl, 6. března 23, že v brněnské oboře uhynul vrh selátek a že děti",0,e715158e17e939ea
tomas-kolacny,Z9/08,17,"Bc. Tomáš Koláčný: Mě tadyutohohle bodu zaujalo, že se k činnostem společnosti přidává výroba elektřiny, což vedle Tepláren a SAKO SOLAR působí tak, že teďka všechny brněnské městské firmy budou vyrábět elektřinu. Tak jsem se chtěl zeptat, co k tomudlenctomu, k této změně vede, případně jaké jsou úmysly, jestli budeme v Brně zakládat nějakou unii brněnských energetiků?",0,1b7d3b44f9e1e083
tomas-kolacny,Z9/08,48,"Bc. Tomáš Koláčný: Já na úvod musím říct, že mě docela zaujalo to, že paní primátorka v tom svém úvodním slovu hovořila o brněnské filharmonii, která tedy minimálně dle mého názoru nečeká na stavbu multifunkční haly, ale Janáčkova kulturního centra, které současná koalice už půl roku úspěšně blokuje. Nicméně k tomu se dostanu v bodě Podněty, připomínky členů zastupitelstva, na konci dnešního jednání. Nyní k multifunkční hale. Já jsem si materiál samozřejmě velmi důkladně přečetl a zaujala mě jedna skutečnost, a to, že bude-li tento materiál schválen, tak prodraží celou stavbu o 1.660.000.000. Jedno rozhodnutí, docela nákladné, je to částka, kterou město Brno prostřednictvím své společnosti ARENA BRNO přeplatí České spořitelně za těch 25 let na úrocích. To, co by mě k tomu zajímalo je, jednak proč je tady tenhlensten návrh na vzetí úvěru předkládán v situaci, kdy město nemá provozovatele, nemá zajištěno kompletní financování, myslím si, že není pravdou to, že by nebyla možnost získat provozovatele, já sám jsem za minulého období seděl na jednání, kde zde přítomný Libor Zábranský nabízel 30.000.000 jako možný koncesní poplatek, což bylo ze strany vedení města odmítnuto, to znamená, todlensto by mě zajímalo a zajímalo by mě také proč se tento materiál předkládá v situaci, kdy není zřejmé, zda bude vůbec možné celou akci financovat z veřejných rozpočtů, jelikož město nedisponuje notifikací Evropské komise. To jsou první dva dotazy a druhé dotazy se týkají materiálu samotného, kdy zde chybí, pokud jsem dobře počítal, tři přílohy. Konkrétně jsou to přílohy na straně 102 ze 166, příloha číslo 5 – Projektové pozemky, dále je to příloha číslo 7 a 8 na stranách 105 a 106 ze 166.",2,1b7d3b44f9e1e083
