osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
tomas-skricka,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
tomas-skricka,Z9/01,11,"Pokračování po přestávce JUDr. Markéta Vaňková, primátorka – přistoupila k dokončení voleb dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna, a to předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Volba dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Bc. Tomáš Anderle, MBA, LL.M., navrhl zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna doc. MUDr. Tomáše Skřičku, CSc. Členka zastupitelstva Ing. Jana Drápalová navrhla zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna Bc. Matěje Hollana. Navržení kandidáti, doc. MUDr. Tomáš Skřička, CSc., i Bc. Matěj Hollan, vyslovili souhlas s kandidaturou a přednesli kandidátské projevy. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna, v abecedním pořadí. Výsledek hlasování: - hlasování se zúčastnilo ………… 51 členů Zastupitelstva města Brna - pro Bc. Matěje Hollana …………. 4 hlasy Hlasování č. 22: 4 - 12 - 30 - 5",6,36036d38da50510d
tomas-skricka,Z9/01,11,"Dlouhodobě uvolněným předsedou Kontrolního výboru Zastupitelstva města Brna byl zvolen doc. MUDr. Tomáš Skřička, CSc. Schválené usnesení: ZMB volí pro volební období 2022–2026, dne 20. října 2022:",0,36036d38da50510d
tomas-skricka,Z9/01,13,"Místopředsedou Finančního výboru Zastupitelstva města Brna byl zvolen JUDr. Michal Marek. Volba neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 5 neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna. Člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl Bc. Jiřího Kmenta, Bc. Tomáš Koláčný navrhl Mgr. Marka Lahodu, Ing. Karin Karasová, náměstkyně primátorky, navrhla Ing. Daniela Struže, MBA, členka zastupitelstva Mgr. Jasna Flamiková navrhla Ing. Janu Drápalovou a JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Petra Šafaříka. O všech kandidátech na člena Finančního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ……… 53 hlasů Hlasování č. 28: 53 - 0 - 1 - 0",6,36036d38da50510d
tomas-skricka,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
tomas-skricka,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
tomas-skricka,Z9/04,2,"Doc. MUDr. Tomáš Skřička, CSc. – jménem předsedy Kontrolního výboru Zastupitelstva města Brna navrhl zařadit na program zasedání nový bod – Návrh pověření Kontrolního výboru Zastupitelstva města Brna provedením kontroly, přičemž návrh usnesení by zněl: Zastupitelstvo města Brna pověřuje kontrolní výbor provedením kontroly privatizace městských bytových domů podle rozhodnutí Kontrolního výboru Zastupitelstva města Brna.",4,a43c0850f687c0a3
tomas-skricka,Z9/04,37,"doc. MUDr. Tomáš Skřička, CSc.: My jsme vycházeli z toho, že nelze zkontrolovat úplně všechno, a po dohodě s kontrolním výborem Brno-střed bychom se zaměřili pouze na některé bytové domy.",0,a43c0850f687c0a3
tomas-skricka,Z9/02,10,"Volba další členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 1 členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen Rady města Brna Bc. Tomáš Aberl navrhl nezastupitelku Mgr. Zdeňku Dubovou, člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl nezastupitele Olega Beznosika, členka zastupitelstva Ing. Jana Drápalová navrhla nezastupitele Mgr. Matouše Vencálka.",6,9d9381375d84a343
tomas-skricka,Z9/03,6,"doc. MUDr. Tomáš Skřička, CSc.: My navrhujeme, aby se hlasovalo podle jmen. Jednotlivě, podle jmen.",0,31d42a3a0b7a27be
