osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
vladan-krasny,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
vladan-krasny,Z9/01,6,Člen zastupitelstva města Brna Mgr. Vladan Krásný s omluvou požádal o prohlášení hlasování za zmatečné. Výsledek opětovného hlasování: - hlasování se zúčastnilo ………………… 54 členů Zastupitelstva města Brna - pro JUDr. Markétu Vaňkovou …………. 42 hlasů Hlasování č. 9: 42 - 5 - 7 - 0,2,36036d38da50510d
vladan-krasny,Z9/02,48,"Mgr. Vladan Krásný: Já mám jenom technickou prosbičku. My, když jsme to ladili s paní radní, tak jsme to správně tam popsali, jenom je tam malá chybička, elektroinstalace MŠ Bosonožská ve Starém Lískovci, a je tam ještě připsána MŠ Oderská, elektroinstalace, tak prosím, to MŠ Oderská škrknout, jo? Je to pouze rekonstrukce, teda elektroinstalace MŠ Bosonožská.",0,9d9381375d84a343
vladan-krasny,Z9/02,52,"Mgr. Vladan Krásný: Mě trošičku mrzí, že tendleten materiál přistál až teď, na stole, že jsem si ho neměl možnost prostudovat, a docela mě mrzí, že pan ředitel u mě seděl před týdnem a že mně tadytuhletu informaci o 82 a jeho rušení vůbec nesdělil. Já s tím nemohu souhlasit. Protože ta 82 nejezdí pouze po Kosmonautech nahoru, ale ta 82 jezdí po Labské, kde nabírá i důchodce a další lidi, kteří jedou po té Labské. Navíc na té Labské byla před rokem vybudována, nebo před rokem a půl, zastávka za celkem docela hodně peněz, která teď přijde vniveč. A já se přiznám, že nevím, na Červený kopec ať si jezdí, nebo nejezdí, ale jsem naprosto proti tomu, aby se 82 rušila. Nebo ať se to jmenuje jinak, název té, toho autobusu, ale ať zachová, ať zůstane zachován přesně v tom, v těch ulicích, po kterých jela. Stačí to, že přes mnoha sliby, který jsme dostali v minulosti, se v této chvíli jeví, že tramvaj z Jemelkovy, z konečné, díky tím, že bude 8 jezdit do kampusu, tak že v této chvíli nemáme pokryté víkendy. A z konečné, která zachytává dopravu, má tam být parkovací dům, tak nebude přímé spojení na nádraží. Ale když se vrátím k té 82, tak já jsem naprosto proti tomu, aby byla rušena, a je mi líto, že to nebylo probráno s městskou částí.",0,9d9381375d84a343
vladan-krasny,Z9/03,1,"Připojeni on-line: Kristýna Černá, RNDr. Jiří Herman, Ph.D., Mgr. Jitka Ivičičová a Mgr. Vladan Krásný.",0,31d42a3a0b7a27be
vladan-krasny,Z9/03,62,"Mgr. Vladan Krásný: Já jsem chtěl jenom navázat na pana starostu Hrušku. Já samozřejmě podpořím zahájení všech těch územně plánovacích dokumentací, nicméně předem podotýkám, že i naše městská část v některých bodech přijala závazné stanovisko negativní, takže budeme určitě s panem Bořeckým o tom jednat.",0,31d42a3a0b7a27be
vladan-krasny,Z9/05,1,"Omluveni: Kristýna Černá, Mgr. Vladan Krásný (od 11:00 hod.), Petr Levíček, MBA, Ing. Daniel Struž, MBA.",0,855e8c7abe4c7621
vladan-krasny,Z9/07,1,"Omluveni: Mgr. Petr Hladík (od 12:00 hod.), Mgr. Vladan Krásný, Ing. Pavel Kříž, Ph.D., Mgr. Filip Leder a Libor Zábranský.",0,736feb627c8ee927
vladan-krasny,Z9/06,15,"Mgr. Vladan Krásný: Mně je líto, že se musím vůbec k takové věci vyjadřovat, protože se přiznám, že v situaci, kdy se vede diskuse, žádné vedení města nenařídilo, že Bolek Polívka bude hrát v Redutě, tak se tady pořádá mediální štvanice, kdy se tvrdí, jak město, zcela jistě, chce dům, ve kterém je Divadlo Bolka Polívky, prodat. Že už je to úplně jasný a domluvený, všechno to je kvůli hale. Takovéhle informace",0,e715158e17e939ea
vladan-krasny,Z9/06,22,"JUDr. Markéta Vaňková, primátorka: Já naprosto smířlivě, pane řediteli. Mě skutečně mrzí, že o těchto závěrech jste prvně neinformoval Radu města Brna, tak jak bylo dohodnuto. Ten termín jste měl stanovený na 10 dnů. Byl to termín, o který jste sám požádal, Vy jste chtěl 7 dnů, domluvili jsme se na termínu 10 dnů právě z důvodu mé zahraniční cesty. Skutečně jsem předpokládala, že se potkáme hned v pondělí, to znamená 11. den, skutečně i s tím vědomím, že dnes je Zastupitelstvo města Brna. Skutečně si nemyslím, že obecné zdůvodnění toho, že máte důležité jednání v Praze, bez nějaké bližší specifikace, je vhodným postojem ke zřizovateli, v této situaci, kdy skutečně řešíme záležitost, která je poměrně zásadní a která vyžaduje i docela rychlá rozhodnutí. Nicméně, jak jsem řekla, budeme se na Vás těšit zítra, na Radě města Brna, kde Vám budeme nějaké naše postoje tadyktomuto sdělovat. To, že jste poslal ten písemný materiál, samozřejmě kvituji, ale skutečně si myslím, že bylo vhodnější nám ho osobně představit, a velmi mě mrzí, že jste si ten čas nenašel. Nicméně, tu debatu dále povedeme a věřím, že bude konstruktivní. Klidně už se můžete posadit a já, vzhledem k tomu, jo, eště se hlásí Vladan Krásný, už jsem to chtěla tak jako hezky ukončit, ale možná to hezky přede mnou ukončí pan zastupitel Krásný, takže mu dávám slovo.",2,e715158e17e939ea
